Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.144202 | segment id: 48 | term: "community college" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.144196 | segment id: 10 | term: "487n" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.144109 | segment id: 46 | term: "Early Learning Board" | text: "How long would it take to have those funds repaid to HHSDC?"
score: 0.144096 | segment id: 2 | term: "Tuition" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.144078 | segment id: 70 | term: "Tuition" | text: "If not, members, any questions?"
score: 0.143958 | segment id: 84 | term: "Post-Secondary Education Commission" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.143948 | segment id: 105 | term: "Cancer Center" | text: "Chair recommendation is adopted."
score: 0.143743 | segment id: 8 | term: "Hawaiʻi Institute of Marine Biology" | text: "Our first testifier is HHFDC in support."
score: 0.143743 | segment id: 36 | term: "Hawaiʻi Institute of Marine Biology" | text: "Our first testifier is HHFDC in support."
score: 0.143737 | segment id: 71 | term: "Hawaiʻi Medical Education Council" | text: "Okay, the chair just has a question for DOTAX."
score: 0.143733 | segment id: 116 | term: "Post-Secondary Education Commission" | text: "Any members voting no?"
score: 0.143733 | segment id: 126 | term: "Post-Secondary Education Commission" | text: "Any members voting no?"
score: 0.143715 | segment id: 22 | term: "Underground Storage Tanks" | text: "Thank you for the opportunity to testify."
score: 0.143653 | segment id: 105 | term: "Career and Technical Education" | text: "Chair recommendation is adopted."
score: 0.143570 | segment id: 110 | term: "Hawaiʻi Institute of Marine Biology" | text: "Members, any discussion?"
score: 0.143516 | segment id: 86 | term: "487n" | text: "Okay, further questions?"
score: 0.143447 | segment id: 49 | term: "College" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.143405 | segment id: 58 | term: "Hawaiʻi Teacher Standards Board" | text: "Any further questions?"
score: 0.143393 | segment id: 95 | term: "Scholarship" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.143370 | segment id: 32 | term: "College" | text: "We also note that these housing counseling agencies rely on federal funds to provide their current services, and with the current uncertainties surrounding federal funding, there is a chance that they"
score: 0.143347 | segment id: 54 | term: "Aloha Stadium" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.143313 | segment id: 129 | term: "Aloha Stadium" | text: "There being no further business, this hearing is adjourned."
score: 0.143312 | segment id: 39 | term: "Hawaiʻi Institute of Marine Biology" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.143227 | segment id: 91 | term: "Hawaiʻi Commission on National and Community Service" | text: "That's all right, members?"
score: 0.142939 | segment id: 77 | term: "304a" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.142898 | segment id: 2 | term: "Early Learning Board" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.142848 | segment id: 75 | term: "Center on Nursing Advisory Board" | text: "I'm from the Department of Taxation."
score: 0.142818 | segment id: 53 | term: "State Departments" | text: "Okay."
score: 0.142818 | segment id: 76 | term: "State Departments" | text: "Okay."
score: 0.142818 | segment id: 87 | term: "State Departments" | text: "Okay."
score: 0.142785 | segment id: 3 | term: "Early Learning Board" | text: "meeting is being streamed live on youtube in the unlikely event that we have to abruptly end this hearing due to technical difficulties committee will reconvene to discuss any outstanding business on "
score: 0.142750 | segment id: 37 | term: "College" | text: "We stand by testimony in support."
score: 0.142709 | segment id: 10 | term: "university" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.142697 | segment id: 18 | term: "State Departments" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.142632 | segment id: 58 | term: "Research Corporation of the University of Hawaiʻi" | text: "Any further questions?"
score: 0.142630 | segment id: 13 | term: "304a" | text: "Good afternoon, Chair Chang and members of the Senate Committee on Housing."
score: 0.142624 | segment id: 127 | term: "Scholarship" | text: "Without others voting aye, recommendation's adopted."
score: 0.142622 | segment id: 52 | term: "487n" | text: "Yes."
score: 0.142572 | segment id: 109 | term: "Red Hill" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.142485 | segment id: 34 | term: "Red Hill" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.142466 | segment id: 96 | term: "Tuition" | text: "Any discussion or questions?"
score: 0.142366 | segment id: 82 | term: "Underground Storage Tanks" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.142344 | segment id: 121 | term: "Western Interstate Commission for Higher Education" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.142313 | segment id: 49 | term: "Research Corporation of the University of Hawaiʻi" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.142133 | segment id: 81 | term: "Post-Secondary Education Commission" | text: "So it should be more than $7,000 to have an impact."
score: 0.142094 | segment id: 53 | term: "Center on Nursing Advisory Board" | text: "Okay."
score: 0.142094 | segment id: 76 | term: "Center on Nursing Advisory Board" | text: "Okay."
score: 0.142094 | segment id: 87 | term: "Center on Nursing Advisory Board" | text: "Okay."
score: 0.142035 | segment id: 109 | term: "Aloha Stadium" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.141981 | segment id: 82 | term: "Mauna Kea" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.141979 | segment id: 14 | term: "Tuition" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.141972 | segment id: 91 | term: "Research Corporation of the University of Hawaiʻi" | text: "That's all right, members?"
score: 0.141955 | segment id: 116 | term: "304a" | text: "Any members voting no?"
score: 0.141955 | segment id: 126 | term: "304a" | text: "Any members voting no?"
score: 0.141903 | segment id: 70 | term: "Research Corporation of the University of Hawaiʻi" | text: "If not, members, any questions?"
score: 0.141856 | segment id: 51 | term: "Research Corporation of the University of Hawaiʻi" | text: "Okay, so that would revolve within three to five years?"
score: 0.141830 | segment id: 71 | term: "Early Learning Board" | text: "Okay, the chair just has a question for DOTAX."
score: 0.141698 | segment id: 26 | term: "Red Hill" | text: "Are there any questions?"
score: 0.141666 | segment id: 94 | term: "Hawaiʻi Institute of Marine Biology" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.141486 | segment id: 108 | term: "John A. Burns School of Medicine" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.141383 | segment id: 92 | term: "Early Learning Board" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.141344 | segment id: 25 | term: "Western Interstate Commission for Higher Education" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.141296 | segment id: 91 | term: "State Departments" | text: "That's all right, members?"
score: 0.141283 | segment id: 113 | term: "John A. Burns School of Medicine" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.141262 | segment id: 92 | term: "Western Interstate Commission for Higher Education" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.141258 | segment id: 86 | term: "Western Interstate Commission for Higher Education" | text: "Okay, further questions?"
score: 0.141239 | segment id: 26 | term: "Hawaiʻi Medical Education Council" | text: "Are there any questions?"
score: 0.141207 | segment id: 110 | term: "State Departments" | text: "Members, any discussion?"
score: 0.141154 | segment id: 17 | term: "Western Interstate Commission for Higher Education" | text: "I'd like to say that houselessness continues to be a prevalent issue in Hawaii, with the ever-increasing cost of housing and lack of services aimed to support vulnerable populations."
score: 0.141135 | segment id: 11 | term: "302a-431" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.141107 | segment id: 54 | term: "State Departments" | text: "I mean, the Chair will just note that $500,000 per unit in taxpayer subsidies is a very lavish subsidy for these 50 lucky lottery winners."
score: 0.141061 | segment id: 71 | term: "College" | text: "Okay, the chair just has a question for DOTAX."
score: 0.141054 | segment id: 92 | term: "Education Commission of the States" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.141051 | segment id: 111 | term: "304a" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.141029 | segment id: 120 | term: "community college" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.140972 | segment id: 58 | term: "Athletic" | text: "Any further questions?"
score: 0.140911 | segment id: 73 | term: "university" | text: "Can you please identify yourself?"
score: 0.140910 | segment id: 90 | term: "Western Interstate Commission for Higher Education" | text: "We'll go straight into decision-making."
score: 0.140876 | segment id: 84 | term: "Board of Regents" | text: "Federal tax savings would be greater than the state tax savings of the IHA, right?"
score: 0.140860 | segment id: 69 | term: "Mauna Kea" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.140786 | segment id: 10 | term: "John A. Burns School of Medicine" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.140712 | segment id: 16 | term: "Hawaiʻi Institute of Marine Biology" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.140691 | segment id: 111 | term: "Scholarship" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.140674 | segment id: 16 | term: "304a" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.140671 | segment id: 14 | term: "302a-431" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.140625 | segment id: 20 | term: "Hawaiʻi Institute of Marine Biology" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.140462 | segment id: 65 | term: "College" | text: "Not present on Zoom, Chair."
score: 0.140349 | segment id: 2 | term: "community college" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.140330 | segment id: 44 | term: "College" | text: "Say there were 50 homes and an average loan amount of $500,000, that would be $25 million."
score: 0.140256 | segment id: 85 | term: "Mauna Kea" | text: "And currently there's less than 100 IHAs that has been reported in my notes and from our research."
score: 0.140215 | segment id: 39 | term: "304a" | text: "Is there anyone else wishing to testify on this measure?"
score: 0.140146 | segment id: 65 | term: "Red Hill" | text: "Not present on Zoom, Chair."
score: 0.140077 | segment id: 22 | term: "Scholarship" | text: "Thank you for the opportunity to testify."
score: 0.140052 | segment id: 3 | term: "Tuition" | text: "meeting is being streamed live on youtube in the unlikely event that we have to abruptly end this hearing due to technical difficulties committee will reconvene to discuss any outstanding business on "
score: 0.140038 | segment id: 77 | term: "Hawaiʻi Teacher Standards Board" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.139984 | segment id: 24 | term: "Mauna Kea" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.139926 | segment id: 74 | term: "Aloha Stadium" | text: "Hi, my name is Eliza."
score: 0.139777 | segment id: 75 | term: "304a" | text: "I'm from the Department of Taxation."
score: 0.139723 | segment id: 65 | term: "west oahu" | text: "Not present on Zoom, Chair."
score: 0.139710 | segment id: 61 | term: "Career and Technical Education" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.139707 | segment id: 104 | term: "community college" | text: "Senator Fevella is excused."
score: 0.139605 | segment id: 42 | term: "302a-431" | text: "How much money is needed for this measure?"
score: 0.139561 | segment id: 51 | term: "302a-431" | text: "Okay, so that would revolve within three to five years?"
score: 0.139560 | segment id: 43 | term: "Red Hill" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.139472 | segment id: 28 | term: "College" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.139468 | segment id: 73 | term: "Mauna Kea" | text: "Can you please identify yourself?"
score: 0.139281 | segment id: 11 | term: "Red Hill" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.139266 | segment id: 0 | term: "Scholarship" | text: "Good afternoon."
score: 0.139266 | segment id: 12 | term: "Scholarship" | text: "Good afternoon."
score: 0.139151 | segment id: 119 | term: "west oahu" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.139147 | segment id: 85 | term: "Western Interstate Commission for Higher Education" | text: "And currently there's less than 100 IHAs that has been reported in my notes and from our research."
score: 0.139037 | segment id: 60 | term: "Athletic" | text: "Our last bill today is HB 286 relating to the Individual Housing Account Program."
score: 0.139024 | segment id: 62 | term: "487n" | text: "Our first testifier is Department of Taxation with comments."
score: 0.138981 | segment id: 92 | term: "Scholarship" | text: "Okay, so our first bill today is HB 1428, relating to housing."
score: 0.138942 | segment id: 34 | term: "Scholarship" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.138911 | segment id: 91 | term: "487n" | text: "That's all right, members?"
score: 0.138901 | segment id: 58 | term: "Center on Nursing Advisory Board" | text: "Any further questions?"
score: 0.138889 | segment id: 109 | term: "west oahu" | text: "Further, in the committee report, we'll note the $25 million appropriation request for 50 units at an average cost of $500,000 to note the extremely high cost and therefore the necessity to revolve th"
score: 0.138854 | segment id: 42 | term: "College" | text: "How much money is needed for this measure?"
score: 0.138828 | segment id: 48 | term: "Hawaiʻi Commission on National and Community Service" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.138727 | segment id: 96 | term: "Board of Regents" | text: "Any discussion or questions?"
score: 0.138601 | segment id: 24 | term: "Scholarship" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.138585 | segment id: 48 | term: "College" | text: "I'm thinking that the state would provide construction loans, which would be paid back upon permanent conversion."
score: 0.138545 | segment id: 86 | term: "Athletic" | text: "Okay, further questions?"
score: 0.138486 | segment id: 10 | term: "Career and Technical Education" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.138484 | segment id: 123 | term: "Red Hill" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.138404 | segment id: 37 | term: "304a" | text: "We stand by testimony in support."
score: 0.138368 | segment id: 26 | term: "487n" | text: "Are there any questions?"
score: 0.138213 | segment id: 43 | term: "Hawaiʻi Commission on National and Community Service" | text: "That really depends on how many homes that would like to be part of the pilot."
score: 0.138096 | segment id: 90 | term: "Center on Nursing Advisory Board" | text: "We'll go straight into decision-making."
score: 0.138074 | segment id: 77 | term: "Hawaiʻi Medical Education Council" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.138068 | segment id: 120 | term: "487n" | text: "um with technical non-substantive amendments for the purposes of clarity and consistency we'll also further defect the date and note in the committee report the change to ten thousand dollars um for a"
score: 0.138064 | segment id: 51 | term: "Candidate Advisory Council" | text: "Okay, so that would revolve within three to five years?"
score: 0.138001 | segment id: 47 | term: "community college" | text: "We'd have to work with organizations to see how they're going to structure their loan process."
score: 0.137991 | segment id: 116 | term: "Early Learning Board" | text: "Any members voting no?"
score: 0.137991 | segment id: 126 | term: "Early Learning Board" | text: "Any members voting no?"
score: 0.137924 | segment id: 98 | term: "west oahu" | text: "Chair votes aye."
score: 0.137924 | segment id: 100 | term: "west oahu" | text: "Chair votes aye."
score: 0.137924 | segment id: 112 | term: "west oahu" | text: "Chair votes aye."
score: 0.137924 | segment id: 114 | term: "west oahu" | text: "Chair votes aye."
score: 0.137924 | segment id: 122 | term: "west oahu" | text: "Chair votes aye."
score: 0.137924 | segment id: 124 | term: "west oahu" | text: "Chair votes aye."
score: 0.137899 | segment id: 74 | term: "Red Hill" | text: "Hi, my name is Eliza."
score: 0.137875 | segment id: 11 | term: "Cancer Center" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.137808 | segment id: 64 | term: "Red Hill" | text: "Tax Foundation of Hawaii with comments."
score: 0.137785 | segment id: 47 | term: "College" | text: "We'd have to work with organizations to see how they're going to structure their loan process."
score: 0.137768 | segment id: 113 | term: "Red Hill" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.137483 | segment id: 50 | term: "community college" | text: "that buyer can pay back HHFDC's funds through their mortgage."
score: 0.137476 | segment id: 74 | term: "Hawaiʻi Teacher Standards Board" | text: "Hi, my name is Eliza."
score: 0.137439 | segment id: 78 | term: "west oahu" | text: "That would be a policy question."
score: 0.137279 | segment id: 27 | term: "Board of Regents" | text: "Okay, I just have a question for HHFDC."
score: 0.137248 | segment id: 16 | term: "west oahu" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.137229 | segment id: 52 | term: "Career and Technical Education" | text: "Yes."
score: 0.137202 | segment id: 23 | term: "Athletic" | text: "Thank you very much."
score: 0.137202 | segment id: 59 | term: "Athletic" | text: "Thank you very much."
score: 0.137202 | segment id: 128 | term: "Athletic" | text: "Thank you very much."
score: 0.137196 | segment id: 127 | term: "Early Learning Board" | text: "Without others voting aye, recommendation's adopted."
score: 0.137147 | segment id: 25 | term: "Research Corporation of the University of Hawaiʻi" | text: "If not, I'd like to welcome Vice Chair Hashimoglu and Senator Aquino to this meeting."
score: 0.137121 | segment id: 69 | term: "John A. Burns School of Medicine" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.136995 | segment id: 34 | term: "Center on Nursing Advisory Board" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.136942 | segment id: 94 | term: "304a" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.136907 | segment id: 121 | term: "Early Learning Board" | text: "Okay, if not, for HB 286, Chair's recommendation is to pass with amendments."
score: 0.136824 | segment id: 40 | term: "College" | text: "Okay, if not, members, are there any questions?"
score: 0.136701 | segment id: 85 | term: "487n" | text: "And currently there's less than 100 IHAs that has been reported in my notes and from our research."
score: 0.136592 | segment id: 78 | term: "College" | text: "That would be a policy question."
score: 0.136587 | segment id: 98 | term: "Career and Technical Education" | text: "Chair votes aye."
score: 0.136587 | segment id: 100 | term: "Career and Technical Education" | text: "Chair votes aye."
score: 0.136587 | segment id: 112 | term: "Career and Technical Education" | text: "Chair votes aye."
score: 0.136587 | segment id: 114 | term: "Career and Technical Education" | text: "Chair votes aye."
score: 0.136587 | segment id: 122 | term: "Career and Technical Education" | text: "Chair votes aye."
score: 0.136587 | segment id: 124 | term: "Career and Technical Education" | text: "Chair votes aye."
score: 0.136467 | segment id: 65 | term: "Scholarship" | text: "Not present on Zoom, Chair."
score: 0.136460 | segment id: 11 | term: "Post-Secondary Education Commission" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.136417 | segment id: 15 | term: "Aloha Stadium" | text: "I would like to note that my stance is solely a reflection of my own beliefs and not of the organization or school I attend."
score: 0.136393 | segment id: 8 | term: "Early Learning Board" | text: "Our first testifier is HHFDC in support."
score: 0.136393 | segment id: 36 | term: "Early Learning Board" | text: "Our first testifier is HHFDC in support."
score: 0.136385 | segment id: 53 | term: "Early Learning Board" | text: "Okay."
score: 0.136385 | segment id: 76 | term: "Early Learning Board" | text: "Okay."
score: 0.136385 | segment id: 87 | term: "Early Learning Board" | text: "Okay."
score: 0.136276 | segment id: 93 | term: "Aloha Stadium" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.136257 | segment id: 42 | term: "Hawaiʻi Medical Education Council" | text: "How much money is needed for this measure?"
score: 0.136215 | segment id: 77 | term: "Education Commission of the States" | text: "How much should the maximum annual deductions be raised to you?"
score: 0.136202 | segment id: 31 | term: "Research Corporation of the University of Hawaiʻi" | text: "That's the amount that we feel that they could use in one year."
score: 0.136194 | segment id: 70 | term: "State Departments" | text: "If not, members, any questions?"
score: 0.136155 | segment id: 40 | term: "304a" | text: "Okay, if not, members, are there any questions?"
score: 0.136144 | segment id: 23 | term: "Cancer Center" | text: "Thank you very much."
score: 0.136144 | segment id: 59 | term: "Cancer Center" | text: "Thank you very much."
score: 0.136144 | segment id: 128 | term: "Cancer Center" | text: "Thank you very much."
score: 0.136105 | segment id: 98 | term: "Mauna Kea" | text: "Chair votes aye."
score: 0.136105 | segment id: 100 | term: "Mauna Kea" | text: "Chair votes aye."
score: 0.136105 | segment id: 112 | term: "Mauna Kea" | text: "Chair votes aye."
score: 0.136105 | segment id: 114 | term: "Mauna Kea" | text: "Chair votes aye."
score: 0.136105 | segment id: 122 | term: "Mauna Kea" | text: "Chair votes aye."
score: 0.136105 | segment id: 124 | term: "Mauna Kea" | text: "Chair votes aye."
score: 0.136098 | segment id: 26 | term: "Board of Regents" | text: "Are there any questions?"
score: 0.135965 | segment id: 110 | term: "Western Interstate Commission for Higher Education" | text: "Members, any discussion?"
score: 0.135884 | segment id: 108 | term: "Early Learning Board" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.135859 | segment id: 26 | term: "Scholarship" | text: "Are there any questions?"
score: 0.135821 | segment id: 101 | term: "304a" | text: "Vice chair votes aye."
score: 0.135792 | segment id: 52 | term: "Candidate Advisory Council" | text: "Yes."
score: 0.135721 | segment id: 101 | term: "Athletic" | text: "Vice chair votes aye."
score: 0.135668 | segment id: 53 | term: "community college" | text: "Okay."
score: 0.135668 | segment id: 76 | term: "community college" | text: "Okay."
score: 0.135668 | segment id: 87 | term: "community college" | text: "Okay."
score: 0.135645 | segment id: 58 | term: "State Departments" | text: "Any further questions?"
score: 0.135644 | segment id: 75 | term: "west oahu" | text: "I'm from the Department of Taxation."
score: 0.135547 | segment id: 117 | term: "Hawaiʻi Commission on National and Community Service" | text: "Without others voting aye, recommendation is adopted."
score: 0.135520 | segment id: 73 | term: "Hawaiʻi Commission on National and Community Service" | text: "Can you please identify yourself?"
score: 0.135514 | segment id: 105 | term: "Aloha Stadium" | text: "Chair recommendation is adopted."
score: 0.135447 | segment id: 19 | term: "Education Commission of the States" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.135412 | segment id: 96 | term: "Education Commission of the States" | text: "Any discussion or questions?"
score: 0.135398 | segment id: 115 | term: "Post-Secondary Education Commission" | text: "Any members voting with reservations?"
score: 0.135398 | segment id: 125 | term: "Post-Secondary Education Commission" | text: "Any members voting with reservations?"
score: 0.135334 | segment id: 40 | term: "302a-431" | text: "Okay, if not, members, are there any questions?"
score: 0.135299 | segment id: 11 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by Agatha Joyce Samarin in support."
score: 0.135230 | segment id: 123 | term: "487n" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.135192 | segment id: 50 | term: "Tuition" | text: "that buyer can pay back HHFDC's funds through their mortgage."
score: 0.135166 | segment id: 93 | term: "Hawaiʻi Commission on National and Community Service" | text: "Chair's recommendation will be to pass with amendments to further defect the date."
score: 0.135157 | segment id: 107 | term: "west oahu" | text: "For HB 833 relating to community land trust, the chair's recommendation will again to pass with amendments."
score: 0.134989 | segment id: 7 | term: "John A. Burns School of Medicine" | text: "It requires a report to the legislature."
score: 0.134979 | segment id: 0 | term: "Post-Secondary Education Commission" | text: "Good afternoon."
score: 0.134979 | segment id: 12 | term: "Post-Secondary Education Commission" | text: "Good afternoon."
score: 0.134951 | segment id: 33 | term: "487n" | text: "Okay, thank you very much."
score: 0.134779 | segment id: 95 | term: "302a-431" | text: "The chair also wants to note in the committee report that home ownership was within reach for most Hawaii residents in the 1950s and 60s, not because of their greater participation in housing counseli"
score: 0.134750 | segment id: 5 | term: "304a" | text: "We appreciate your understanding and remind you that the committee has your written testimony."
score: 0.134723 | segment id: 115 | term: "Mauna Kea" | text: "Any members voting with reservations?"
score: 0.134723 | segment id: 125 | term: "Mauna Kea" | text: "Any members voting with reservations?"
score: 0.134703 | segment id: 19 | term: "Tuition" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.134670 | segment id: 113 | term: "west oahu" | text: "Members, HB 833, Chair's recommendation is to pass with amendments."
score: 0.134544 | segment id: 86 | term: "Research Corporation of the University of Hawaiʻi" | text: "Okay, further questions?"
score: 0.134503 | segment id: 64 | term: "College" | text: "Tax Foundation of Hawaii with comments."
score: 0.134459 | segment id: 74 | term: "Mauna Kea" | text: "Hi, my name is Eliza."
score: 0.134169 | segment id: 61 | term: "Board of Regents" | text: "It increases the maximum annual deduction for contributions to and maximum account levels for individual housing accounts."
score: 0.134168 | segment id: 82 | term: "Board of Regents" | text: "So really the IHA would only be used by taxpayers who have already maxed out their Roth annual contribution limit?"
score: 0.134155 | segment id: 99 | term: "west oahu" | text: "Members, HB 1428, chair's recommendation is to pass with amendments."
score: 0.134140 | segment id: 65 | term: "Aloha Stadium" | text: "Not present on Zoom, Chair."
score: 0.134137 | segment id: 69 | term: "Athletic" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.134134 | segment id: 52 | term: "Tuition" | text: "Yes."
score: 0.134117 | segment id: 65 | term: "487n" | text: "Not present on Zoom, Chair."
score: 0.134110 | segment id: 98 | term: "Athletic" | text: "Chair votes aye."
score: 0.134110 | segment id: 100 | term: "Athletic" | text: "Chair votes aye."
score: 0.134110 | segment id: 112 | term: "Athletic" | text: "Chair votes aye."
score: 0.134110 | segment id: 114 | term: "Athletic" | text: "Chair votes aye."
score: 0.134110 | segment id: 122 | term: "Athletic" | text: "Chair votes aye."
score: 0.134110 | segment id: 124 | term: "Athletic" | text: "Chair votes aye."
score: 0.134110 | segment id: 9 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134110 | segment id: 57 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134110 | segment id: 63 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134110 | segment id: 66 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134110 | segment id: 72 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134110 | segment id: 106 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134110 | segment id: 118 | term: "Career and Technical Education" | text: "Thank you."
score: 0.134103 | segment id: 42 | term: "304a" | text: "How much money is needed for this measure?"
score: 0.133995 | segment id: 20 | term: "Hawaiʻi Commission on National and Community Service" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.133965 | segment id: 42 | term: "Hawaiʻi Teacher Standards Board" | text: "How much money is needed for this measure?"
score: 0.133913 | segment id: 73 | term: "Aloha Stadium" | text: "Can you please identify yourself?"
score: 0.133897 | segment id: 79 | term: "Tuition" | text: "However, if we look at the Roth IRA, the maximum deduction is $7,000."
score: 0.133763 | segment id: 67 | term: "Red Hill" | text: "Maui Chamber of Commerce in support, and several individuals in support."
score: 0.133646 | segment id: 75 | term: "university" | text: "I'm from the Department of Taxation."
score: 0.133628 | segment id: 1 | term: "Aloha Stadium" | text: "It's 1.25 PM."
score: 0.133520 | segment id: 119 | term: "Hawaiʻi Institute of Marine Biology" | text: "And then finally, HB 286, relating to the individual housing account program, Chair's recommendation will be to pass with this measure with amendments."
score: 0.133437 | segment id: 49 | term: "State Departments" | text: "So when they're using the funds to acquire a property or to rehab the property and to build something, when they sell it to a qualified buyer,"
score: 0.133418 | segment id: 16 | term: "community college" | text: "Thank you for giving me the chance to speak in favor of House Bill 1428."
score: 0.133408 | segment id: 37 | term: "Aloha Stadium" | text: "We stand by testimony in support."
score: 0.133389 | segment id: 26 | term: "Aloha Stadium" | text: "Are there any questions?"
score: 0.133312 | segment id: 24 | term: "Red Hill" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.133286 | segment id: 14 | term: "Candidate Advisory Council" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
